State/UT,Efficiency_%
ANDAMAN AND NICOBAR ISLANDS,100.0
CHHATTISGARH,100.0
PUDUCHERRY,100.0
MIZORAM,100.0
GUJARAT,100.0
GOA,100.0
LADAKH,100.0
CHANDIGARH,100.0
TRIPURA,90.91
TELANGANA,88.91
UTTAR PRADESH,87.46
DELHI,81.38
MADHYA PRADESH,77.12
HIMACHAL PRADESH,76.62
ANDHRA PRADESH,74.81
SIKKIM,74.02
DAMAN DIU AND DADRA NAGAR HAVELI,73.57
TAMIL NADU,73.16
HARYANA,69.6
KERALA,69.54
ODISHA,66.43
UTTARAKHAND,66.33
MANIPUR,63.75
ARUNACHAL PRADESH,61.11
ASSAM,60.96
WEST BENGAL,54.68
PUNJAB,53.22
JHARKHAND,50.5
BIHAR,45.86
MAHARASHTRA,42.19
KARNATAKA,41.96
RAJASTHAN,36.7
MEGHALAYA,32.54
JAMMU AND KASHMIR,27.4
NAGALAND,10.0
